No,Date,Time,Train filename,Test filename,Word embedding,Char embedding,Total unique word,Total unique char,Unique OOV,Padsize,Char padsize,Trainable,MergeGRU Char,MergeGRU Word,Dropout,Dropout GRU,Model,Merge Layer,Optimizer,Loss,Load wgt,Name wgt,Epoch,Batch,F-1 Macro,F-1 Micro,Save wgt,Saved name wgt
no,2018-05-12,05:37,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.3,3,0,rmsprop,categorical_crossentropy,n,,15,32,0.8535543642352604,0.9158736200989721,y,05-12_05:37_916
no,2018-05-12,06:42,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.4,3,0,rmsprop,categorical_crossentropy,n,,16,32,0.8504308492561824,0.9159582117328596,y,05-12_06:42_916
no,2018-05-12,07:36,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.4,3,0,rmsprop,categorical_crossentropy,n,,13,32,0.8509752497328841,0.9153660702956478,y,05-12_07:36_915
no,2018-05-12,08:41,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.5,3,0,rmsprop,categorical_crossentropy,n,,16,32,0.8509275556983126,0.9162965782684093,y,05-12_08:41_916
no,2018-05-12,10:01,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.5,3,0,rmsprop,categorical_crossentropy,n,,20,32,0.8527396935883873,0.9162965782684093,y,05-12_10:01_916
no,2018-05-12,11:10,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.6,3,0,rmsprop,categorical_crossentropy,n,,17,32,0.8507786006119669,0.9151968870278729,y,05-12_11:10_915
no,2018-05-12,12:34,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.6,3,0,rmsprop,categorical_crossentropy,n,,21,32,0.8510874924827911,0.9154506619295351,y,05-12_12:34_915
no,2018-05-12,13:20,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.7,3,0,rmsprop,categorical_crossentropy,n,,11,32,0.8445832943929277,0.9084295563168802,y,05-12_13:20_908
no,2018-05-12,14:45,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.7,3,0,rmsprop,categorical_crossentropy,n,,21,32,0.8496913851453001,0.9141817874212241,y,05-12_14:45_914
no,2018-05-12,16:12,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.8,3,0,rmsprop,categorical_crossentropy,n,,22,32,0.8465811256728004,0.9094446559235292,y,05-12_16:12_909
no,2018-05-12,17:14,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.8,3,0,rmsprop,categorical_crossentropy,n,,15,32,0.8419504016793964,0.9066531320052448,y,05-12_17:14_907
no,2018-05-12,18:19,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.9,3,0,rmsprop,categorical_crossentropy,n,,16,32,0.8014997071818241,0.8813602334729095,y,05-12_18:19_881
no,2018-05-12,19:51,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.9,3,0,rmsprop,categorical_crossentropy,n,,23,32,0.8172262504881411,0.8895656219599881,y,05-12_19:51_890
no,2018-05-12,20:22,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.0,1,0,rmsprop,categorical_crossentropy,n,,15,32,0.8488494576507126,0.9107981220657277,y,05-12_20:22_911
no,2018-05-12,20:48,id-ud-train.pos,id-ud-dev.pos,rang_fasttext.vec,rang_fasttext-char.vec,121373,181,1052,188,25,True,concat,concat,0.5,0.0,1,0,rmsprop,categorical_crossentropy,n,,14,32,0.8399837943396724,0.8816333638065386,y,05-12_20:48_882
no,2018-05-12,21:19,id-ud-train.pos,id-ud-dev.pos,rang_word2vec.vec,rang_word2vec-char.vec,121373,181,1052,188,25,True,concat,concat,0.5,0.0,1,0,rmsprop,categorical_crossentropy,n,,17,32,0.8369764137820686,0.8777153802620696,y,05-12_21:19_878
no,2018-05-12,21:57,id-ud-train.pos,id-ud-dev.pos,wiki.id.vec,wiki.id-char.vec,311198,181,1018,188,25,True,concat,concat,0.5,0.0,1,0,rmsprop,categorical_crossentropy,n,,7,32,0.8356696296419288,0.880222599017434,y,05-12_21:57_880
no,2018-05-12,22:27,id-ud-train.pos,id-ud-dev.pos,WE_w.vec,WE_w-char.vec,90844,181,1112,188,25,True,concat,concat,0.5,0.0,1,0,rmsprop,categorical_crossentropy,n,,12,32,0.8643877848269919,0.8670828058841503,y,05-12_22:27_867
