Percentage, Seed, F-1 Score
100.0%, 0, 0.710291493159
100.0%, 2, 0.724611708483
100.0%, 3, 0.728528528529
100.0%, 7, 0.928513403737
100.0%, 12, 0.73430526629
50.0%, 0, 0.689462231893
50.0%, 2, 0.670570107858
50.0%, 3, 0.669533169533
50.0%, 7, 0.921868636919
50.0%, 12, 0.664864864865
20.0%, 0, 0.638377535101
20.0%, 2, 0.651482059282
20.0%, 3, 0.621383647799
20.0%, 7, 0.907850227458
20.0%, 12, 0.59068627451
10.0%, 0, 0.521566025216
10.0%, 2, 0.557428214732
10.0%, 3, 0.546563904945
10.0%, 7, 0.893366722963
10.0%, 12, 0.529603122967
5.0%, 0, 0.438535911602
5.0%, 2, 0.47255038221
5.0%, 3, 0.517473549214
5.0%, 7, 0.870387779083
5.0%, 12, 0.440325203252
2.0%, 0, 0.343967730106
2.0%, 2, 0.288818787242
2.0%, 3, 0.249161073826
2.0%, 7, 0.840591667158
2.0%, 12, 0.193495265541
1.0%, 0, 0.152095188826
1.0%, 2, 0.226128645625
1.0%, 3, 0.232682060391
1.0%, 7, 0.830839910472
1.0%, 12, 0.195674562307
0.5%, 0, 0.191163210099
0.5%, 2, 0.24171212757
0.5%, 3, 0.21652892562
0.5%, 7, 0.835671819263
0.5%, 12, 0.138147566719
