Percentage, Seed, F-1 Score
100.0%, 0, 0.71655193056
100.0%, 1, 0.71089762834
100.0%, 2, 0.714972940469
100.0%, 3, 0.713816771113
100.0%, 4, 0.927015891701
100.0%, 5, 0.723072307231
100.0%, 6, 0.716034637205
100.0%, 7, 0.707360861759
100.0%, 12, 0.926826396656
50.0%, 0, 0.687386843693
50.0%, 1, 0.67438318611
50.0%, 2, 0.696642685851
50.0%, 3, 0.68109407875
50.0%, 4, 0.920919269299
50.0%, 5, 0.667072428484
50.0%, 6, 0.683000604961
50.0%, 7, 0.649058894961
50.0%, 12, 0.921888816837
20.0%, 0, 0.637457574823
20.0%, 1, 0.620174346202
20.0%, 2, 0.618844984802
20.0%, 3, 0.660741648789
20.0%, 4, 0.909959313639
20.0%, 5, 0.591229684146
20.0%, 6, 0.620440156768
20.0%, 7, 0.59680393362
20.0%, 12, 0.904283009938
10.0%, 0, 0.592405063291
10.0%, 1, 0.53618628068
10.0%, 2, 0.550815558344
10.0%, 3, 0.583968302347
10.0%, 4, 0.890085824208
10.0%, 5, 0.531849103278
10.0%, 6, 0.461977186312
10.0%, 7, 0.564749307905
10.0%, 12, 0.895278665247
5.0%, 0, 0.472800537273
5.0%, 1, 0.434473854099
5.0%, 2, 0.510901399284
5.0%, 3, 0.474908200734
5.0%, 4, 0.884699745095
5.0%, 5, 0.486912645853
5.0%, 6, 0.368553459119
5.0%, 7, 0.476656872347
5.0%, 12, 0.878253172027
2.0%, 0, 0.260103312063
2.0%, 1, 0.420795533845
2.0%, 2, 0.377164849262
2.0%, 3, 0.361445783133
2.0%, 4, 0.867099541312
2.0%, 5, 0.3192550715
2.0%, 6, 0.295857988166
2.0%, 7, 0.345389377647
2.0%, 12, 0.850067802606
1.0%, 0, 0.250269687163
1.0%, 1, 0.324441240087
1.0%, 2, 0.266412940057
1.0%, 3, 0.296150049358
1.0%, 4, 0.842689989363
1.0%, 5, 0.22844126261
1.0%, 6, 0.292492687683
1.0%, 7, 0.23265940902
1.0%, 12, 0.837181903864
0.5%, 0, 0.306393244873
0.5%, 1, 0.171532846715
0.5%, 2, 0.221264367816
0.5%, 3, 0.301687065829
0.5%, 4, 0.855546687949
0.5%, 5, 0.210690596957
0.5%, 6, 0.196775255018
0.5%, 7, 0.156965336821
0.5%, 12, 0.827683615819
