Percentage, Seed, F-1 Score
100.0%, 0, 0.732874663476
100.0%, 1, 0.928348542832
100.0%, 2, 0.717809867629
100.0%, 3, 0.724541904476
100.0%, 4, 0.721174004193
100.0%, 5, 0.930427098675
100.0%, 6, 0.721606233144
100.0%, 7, 0.931476646359
100.0%, 12, 0.718926974665
50.0%, 0, 0.693069306931
50.0%, 1, 0.920425029516
50.0%, 2, 0.675301204819
50.0%, 3, 0.687254011505
50.0%, 4, 0.676789587852
50.0%, 5, 0.91811589931
50.0%, 6, 0.689901697945
50.0%, 7, 0.923684057803
50.0%, 12, 0.649896419059
20.0%, 0, 0.664195242508
20.0%, 1, 0.905280606204
20.0%, 2, 0.637342356198
20.0%, 3, 0.620668693009
20.0%, 4, 0.623484365029
20.0%, 5, 0.910027228602
20.0%, 6, 0.632850241546
20.0%, 7, 0.908423200233
20.0%, 12, 0.597651421508
10.0%, 0, 0.518873960333
10.0%, 1, 0.896338930754
10.0%, 2, 0.519419115164
10.0%, 3, 0.562306261624
10.0%, 4, 0.547518650665
10.0%, 5, 0.899122807018
10.0%, 6, 0.566771159875
10.0%, 7, 0.898405094351
10.0%, 12, 0.516149870801
5.0%, 0, 0.490604026846
5.0%, 1, 0.879425041578
5.0%, 2, 0.46877098724
5.0%, 3, 0.540362438221
5.0%, 4, 0.492358803987
5.0%, 5, 0.875851851852
5.0%, 6, 0.434060228453
5.0%, 7, 0.865631250735
5.0%, 12, 0.455566249599
2.0%, 0, 0.36681547619
2.0%, 1, 0.854254124047
2.0%, 2, 0.333778371162
2.0%, 3, 0.323210412148
2.0%, 4, 0.366911764706
2.0%, 5, 0.855263937437
2.0%, 6, 0.310869565217
2.0%, 7, 0.842638398115
2.0%, 12, 0.0201229737283
1.0%, 0, 0.180527383367
1.0%, 1, 0.843554443054
1.0%, 2, 0.245150639703
1.0%, 3, 0.218501465048
1.0%, 4, 0.183612183612
1.0%, 5, 0.842516423034
1.0%, 6, 0.21760391198
1.0%, 7, 0.830255264087
1.0%, 12, 0.196437168994
0.5%, 0, 0.19427764041
0.5%, 1, 0.836697463662
0.5%, 2, 0.228571428571
0.5%, 3, 0.202521008403
0.5%, 4, 0.124308216262
0.5%, 5, 0.839510615329
0.5%, 6, 0.176836861768
0.5%, 7, 0.836480609996
0.5%, 12, 0.167272727273
