Percentage, Seed, F-1 Score
100.0%, 0, 0.71254095919
100.0%, 2, 0.723543400713
100.0%, 3, 0.709409320273
100.0%, 7, 0.931330472103
100.0%, 12, 0.714876033058
50.0%, 0, 0.687368103708
50.0%, 2, 0.677127338564
50.0%, 3, 0.676372459812
50.0%, 7, 0.924811156304
50.0%, 12, 0.665668064709
20.0%, 0, 0.638991389914
20.0%, 2, 0.646190906354
20.0%, 3, 0.612552806276
20.0%, 7, 0.907976892105
20.0%, 12, 0.587989244099
10.0%, 0, 0.509911558402
10.0%, 2, 0.537702831689
10.0%, 3, 0.534412955466
10.0%, 7, 0.894165694282
10.0%, 12, 0.516518424396
5.0%, 0, 0.440185471406
5.0%, 2, 0.464912280702
5.0%, 3, 0.51240188383
5.0%, 7, 0.869539724421
5.0%, 12, 0.452687834014
2.0%, 0, 0.381510416667
2.0%, 2, 0.311662855276
2.0%, 3, 0.340929808569
2.0%, 7, 0.848445365709
2.0%, 12, 0.319602272727
1.0%, 0, 0.230563002681
1.0%, 2, 0.28678729942
1.0%, 3, 0.247994652406
1.0%, 7, 0.843679256523
1.0%, 12, 0.257767548907
0.5%, 0, 0.263956114876
0.5%, 2, 0.281781963057
0.5%, 3, 0.24063356686
0.5%, 7, 0.854290931223
0.5%, 12, 0.189127105666
