Percentage, Seed, F-1 Score
100.0%, 0, 0.723621103118
100.0%, 2, 0.733553619706
100.0%, 3, 0.716212166617
100.0%, 7, 0.930175866272
100.0%, 12, 0.726949303291
50.0%, 0, 0.677588871716
50.0%, 2, 0.676742751388
50.0%, 3, 0.692448233861
50.0%, 7, 0.920572159553
50.0%, 12, 0.658935474279
20.0%, 0, 0.65376344086
20.0%, 2, 0.637245696401
20.0%, 3, 0.617221873036
20.0%, 7, 0.909037832788
20.0%, 12, 0.589836660617
10.0%, 0, 0.54099378882
10.0%, 2, 0.550314465409
10.0%, 3, 0.538876547128
10.0%, 7, 0.891300542622
10.0%, 12, 0.51411687459
5.0%, 0, 0.435073627845
5.0%, 2, 0.498583569405
5.0%, 3, 0.543281653747
5.0%, 7, 0.865017335606
5.0%, 12, 0.424746743849
2.0%, 0, 0.310665712241
2.0%, 2, 0.351439790576
2.0%, 3, 0.313271028037
2.0%, 7, 0.834667757583
2.0%, 12, 0.235849056604
1.0%, 0, 0.196993260757
1.0%, 2, 0.19693654267
1.0%, 3, 0.200267022697
1.0%, 7, 0.831353076787
1.0%, 12, 0.190429205723
0.5%, 0, 0.17873651772
0.5%, 2, 0.212765957447
0.5%, 3, 0.285714285714
0.5%, 7, 0.837973473533
0.5%, 12, 0.131027253669
