Percentage, Seed, F-1 Score
100.0%, 0, 0.719589495925
100.0%, 2, 0.720283855707
100.0%, 3, 0.730677764566
100.0%, 7, 0.71721677074
100.0%, 12, 0.926613616269
50.0%, 0, 0.710162357186
50.0%, 2, 0.680712166172
50.0%, 3, 0.700761035008
50.0%, 7, 0.655161973963
50.0%, 12, 0.920670522961
20.0%, 0, 0.646649810367
20.0%, 2, 0.609553158706
20.0%, 3, 0.66075794621
20.0%, 7, 0.607697082557
20.0%, 12, 0.9006497342
10.0%, 0, 0.604560260586
10.0%, 2, 0.566542288557
10.0%, 3, 0.578947368421
10.0%, 7, 0.535443037975
10.0%, 12, 0.89267744036
5.0%, 0, 0.460426929392
5.0%, 2, 0.526585522101
5.0%, 3, 0.473026315789
5.0%, 7, 0.467094161323
5.0%, 12, 0.869225764476
2.0%, 0, 0.281026503997
2.0%, 2, 0.352067868505
2.0%, 3, 0.348804500703
2.0%, 7, 0.276247207744
2.0%, 12, 0.856118118238
1.0%, 0, 0.205361659079
1.0%, 2, 0.152123191787
1.0%, 3, 0.233400402414
1.0%, 7, 0.152622061483
1.0%, 12, 0.846579536089
0.5%, 0, 0.227218934911
0.5%, 2, 0.134541984733
0.5%, 3, 0.25190194421
0.5%, 7, 0.0782654680063
0.5%, 12, 0.834440199824
