Percentage, Seed, F-1 Score
100.0%, 0, 0.717552717553
100.0%, 2, 0.717253839205
100.0%, 3, 0.714242878561
100.0%, 7, 0.727599640396
100.0%, 12, 0.930799105567
50.0%, 0, 0.707222055739
50.0%, 2, 0.690307328605
50.0%, 3, 0.699401197605
50.0%, 7, 0.646378575776
50.0%, 12, 0.921344339623
20.0%, 0, 0.634970284642
20.0%, 2, 0.634843417452
20.0%, 3, 0.646333949476
20.0%, 7, 0.609881782358
20.0%, 12, 0.90555785246
10.0%, 0, 0.585635359116
10.0%, 2, 0.54884004884
10.0%, 3, 0.562178517398
10.0%, 7, 0.574776441566
10.0%, 12, 0.892684079896
5.0%, 0, 0.467820973538
5.0%, 2, 0.526315789474
5.0%, 3, 0.427221172023
5.0%, 7, 0.471529110685
5.0%, 12, 0.870406417743
2.0%, 0, 0.284910306015
2.0%, 2, 0.324644549763
2.0%, 3, 0.332887700535
2.0%, 7, 0.264372024899
2.0%, 12, 0.847451607175
1.0%, 0, 0.249429657795
1.0%, 2, 0.217801753203
1.0%, 3, 0.277128547579
1.0%, 7, 0.225777241171
1.0%, 12, 0.842179592797
0.5%, 0, 0.302307692308
0.5%, 2, 0.202566770725
0.5%, 3, 0.306150656531
0.5%, 7, 0.158881691101
0.5%, 12, 0.822901390274
