Percentage, Seed, F-1 Score
100.0%,0,0.7230355542
100.0%,2,0.7210068924
100.0%,3,0.725188537
100.0%,7,0.7207850134
100.0%,12,0.9293702178
50.0%,0,0.6993385448
50.0%,2,0.6891973446
50.0%,7,0.6537295331
20.0%,0,0.6513095614
20.0%,2,0.637389448
20.0%,3,0.6484810911
20.0%,7,0.6081081081
20.0%,12,0.9058962264
10.0%,0,0.5841228357
10.0%,2,0.5576506955
10.0%,3,0.5779160187
10.0%,7,0.5401224621
10.0%,12,0.897308194
5.0%,0,0.5109289617
5.0%,2,0.5460526316
5.0%,3,0.4896483733
5.0%,7,0.4450587422
5.0%,12,0.8717979057
2.0%,0,0.2897119342
2.0%,2,0.3161685272
2.0%,3,0.3910840932
2.0%,7,0.2977954463
2.0%,12,0.849625412
1.0%,0,0.1902231668
1.0%,2,0.1549883991
1.0%,3,0.2127659574
1.0%,7,0.2171052632
1.0%,12,0.8431395623
0.5%,0,0.2390670554
0.5%,2,0.1308950914
0.5%,3,0.2212171053
0.5%,7,0.087141339
0.5%,12,0.8341394361
