Epoch, F-1 Score,,,,Epoch, F-1 Score
134,0.8237129485,134,0.8249084249,,134,0.8243106867
135,0.8248062016,135,0.8225806452,,135,0.8236934234
136,0.8229813665,136,0.8220588235,,136,0.822520095
137,0.8245341615,137,0.8229243204,,137,0.8237292409
138,0.8258164852,138,0.8193832599,,138,0.8225998726
139,0.8282828283,139,0.8237885463,,139,0.8260356873
140,0.8220668221,140,0.821192053,,140,0.8216294375
141,0.8215120811,141,0.825607064,,141,0.8235595725
142,0.8227946916,142,0.8147601476,,142,0.8187774196
143,0.8215120811,143,0.8128654971,,143,0.8171887891
144,0.8215120811,144,0.8167155425,,144,0.8191138118
145,0.821875,145,0.8167155425,,145,0.8192952713
146,0.8227060653,146,0.8193832599,,146,0.8210446626
147,0.820233463,147,0.8149779736,,147,0.8176057183
148,0.8233463035,148,0.8175824176,,148,0.8204643605
149,0.8161993769,149,0.8128654971,,149,0.814532437
150,0.8221528861,150,0.817188638,,150,0.8196707621
151,0.8212334114,151,0.8212983224,,151,0.8212658669
152,0.820233463,152,0.8241353937,,152,0.8221844284
153,0.8242612753,153,0.8237015362,,153,0.8239814057
154,0.8227060653,154,0.8243938281,,154,0.8235499467
155,0.8181108509,155,0.82284041,,155,0.8204756304
156,0.8196721311,156,0.8104956268,,156,0.815083879
157,0.820233463,157,0.8205128205,,157,0.8203731418
158,0.8180404355,158,0.8193123628,,158,0.8186763991
159,0.8183229814,159,0.821192053,,159,0.8197575172
160,0.818958819,160,0.8205128205,,160,0.8197358197
161,0.8168355417,161,0.8220588235,,161,0.8194471826
162,0.8186770428,162,0.8220588235,,162,0.8203679332
163,0.818958819,163,0.8205128205,,163,0.8197358197
164,0.8155642023,164,0.8225806452,,164,0.8190724237
165,0.8171206226,165,0.8199121523,,165,0.8185163874
166,0.8171206226,166,0.8220588235,,166,0.819589723
167,0.8190327613,167,0.8229243204,,167,0.8209785408
168,0.8205128205,168,0.819047619,,168,0.8197802198
169,0.8183943882,169,0.8199853049,,169,0.8191898465
170,0.8212334114,170,0.8177842566,,170,0.819508834
171,0.8199532346,171,0.8202494497,,171,0.8201013422
172,0.8174048174,172,0.8196480938,,172,0.8185264556
173,0.8183229814,173,0.8214548126,,173,0.819888897
174,0.818958819,174,0.8197203826,,174,0.8193396008
175,0.818958819,175,0.821192053,,175,0.820075436
176,0.8155642023,176,0.8237885463,,176,0.8196763743
177,0.8177570093,177,0.819047619,,177,0.8184023142
178,0.8161993769,178,0.8237885463,,178,0.8199939616
179,0.8177570093,179,0.8187820983,,179,0.8182695538
180,0.8171206226,180,0.8199853049,,180,0.8185529637
181,0.8142968143,181,0.8181818182,,181,0.8162393162
182,0.8177570093,182,0.819047619,,182,0.8184023142
183,0.8180404355,183,0.8164464023,,183,0.8172434189
184,0.8164852255,184,0.8163862473,,184,0.8164357364
185,0.8171206226,185,0.819047619,,185,0.8180841208
186,0.8164852255,186,0.8169838946,,186,0.81673456
187,0.81613654,187,0.8187134503,,187,0.8174249951
188,0.8155642023,188,0.8204379562,,188,0.8180010793
189,0.8171206226,189,0.8196480938,,189,0.8183843582
190,0.8195956454,190,0.8196480938,,190,0.8196218696
191,0.8229813665,191,0.8196480938,,191,0.8213147302
192,0.8198757764,192,0.8196480938,,192,0.8197619351
193,0.8180404355,193,0.8167155425,,193,0.817377989
194,0.8205128205,194,0.8187820983,,194,0.8196474594
195,0.820233463,195,0.8196480938,,195,0.8199407784
196,0.818958819,196,0.8197203826,,196,0.8193396008
197,0.8198757764,197,0.8205882353,,197,0.8202320058
198,0.818958819,198,0.8255131965,,198,0.8222360077
199,0.8180404355,,,,199,0.8180404355
200,0.8198757764,,,,200,0.8198757764
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
199,,,,,,
