Epoch, F-1 Score,,,,
71,0.8302180685,71,0.824127907,71,0.8598425197
72,0.8234375,72,0.818443804,72,0.8598425197
73,0.8290398126,73,0.8216374269,73,0.8582677165
74,0.8243559719,74,0.8236151604,74,0.8587127159
75,0.8339828527,75,0.82567469,75,0.8605200946
76,0.8325508607,76,0.8201019665,76,0.8620961387
77,0.8309859155,77,0.8234442836,77,0.859399684
78,0.8221528861,78,0.8260869565,78,0.8600790514
79,0.8274785324,79,0.8218181818,79,0.8540031397
80,0.821875,80,0.8218181818,80,0.8609794629
81,0.8277474669,81,0.8188405797,81,0.8575924469
82,0.8302180685,82,0.8187134503,82,0.8589440504
83,0.8243559719,83,0.8208846991,83,0.8562401264
84,0.8299531981,84,0.8240405503,84,0.8573680063
85,0.8258164852,85,0.8249818446,85,0.8596214511
86,0.8283931357,86,0.8278388278,86,0.859399684
87,0.818958819,87,0.8235294118,87,0.8445839874
88,0.8304821151,88,0.823953824,88,0.8596214511
89,0.8274785324,89,0.8196248196,89,0.8549019608
90,0.8221528861,90,0.8274368231,90,0.8584980237
91,0.828125,91,0.8190338861,91,0.8611987382
92,0.8265625,92,0.8221574344,92,0.8555729984
93,0.8171875,93,0.8249818446,93,0.8571428571
94,0.8296875,94,0.8247272727,94,0.8542319749
95,0.8268330733,95,0.8265306122,95,0.8571428571
96,0.826459144,96,0.8350515464,96,0.8571428571
97,0.825,97,0.8265306122,97,0.8546739984
98,0.8253719655,98,0.8264342774,98,0.8605200946
99,0.8275862069,99,0.8180494905,99,0.8566929134
100,0.8275862069,100,0.8296943231,100,0.8575924469
101,0.8283931357,101,0.8262773723,101,0.8546739984
102,0.8256450352,102,0.826783115,102,0.8602999211
103,0.8272087568,103,0.8279883382,103,0.8551181102
104,0.8240813135,104,0.8260869565,104,0.8587213891
105,0.828125,105,0.8272859216,105,0.8580392157
106,0.8233463035,106,0.8244719592,106,0.852433281
107,0.8222396241,107,0.8263386397,107,0.8549019608
108,0.8269381363,108,0.824127907,108,0.8557919622
109,0.8247261346,109,0.826880935,109,0.8580392157
110,0.8272087568,110,0.8253275109,110,0.8602825746
111,0.825,111,0.8246376812,111,0.8575924469
112,0.824629774,112,0.8245487365,112,0.856918239
113,0.8221528861,113,0.8249818446,113,0.8571428571
114,0.8272087568,114,0.8249818446,114,0.8571428571
115,0.8234375,115,0.8200290276,115,0.8571428571
116,0.8220668221,116,0.8229317852,116,0.8557919622
117,0.8237129485,117,0.8217391304,117,0.8537549407
118,0.825,118,0.81712627,118,0.8546603476
119,0.8238057948,119,0.8247272727,119,0.8531029065
120,0.826459144,120,0.8264342774,120,0.859166011
121,0.8234375,121,0.8214804064,121,0.8551181102
122,0.828125,122,0.8231884058,122,0.8551181102
123,0.828125,123,0.8218181818,123,0.8542319749
124,0.8274785324,124,0.8229317852,124,0.8551181102
125,0.8260869565,125,0.8211440985,125,0.8555729984
126,0.825,126,0.8237853517,126,0.8517647059
127,0.8181108509,127,0.825235678,127,0.8551181102
128,0.8230709275,128,0.8219971056,128,0.8557919622
129,0.8215120811,129,0.8219971056,129,0.8560188828
130,0.8191072827,130,0.8225923244,130,0.8519685039
131,0.8261886204,131,0.8221574344,131,0.8557919622
132,0.8255451713,132,0.8224163028,132,0.8539857932
133,0.8243559719,133,0.8237853517,133,0.8540031397
134,0.8237129485,134,0.8223350254,134,0.8540031397
135,0.8274785324,135,0.8218181818,135,0.8540031397
136,0.828504307,136,0.8264342774,136,0.8551181102
137,0.825,137,0.8258345428,137,0.8544453186
138,0.8243559719,138,0.8231884058,138,0.8566929134
139,0.8259172521,139,0.8234442836,139,0.8548895899
140,0.8221528861,140,0.8219971056,140,0.8560188828
141,0.8227946916,141,0.8220769789,141,0.8571428571
142,0.8243559719,142,0.8235294118,142,0.8566929134
143,0.824629774,143,0.8225108225,143,0.8573680063
144,0.8234375,144,0.8199566161,144,0.854215918
145,0.824629774,145,0.8246376812,145,0.8512981904
146,0.824629774,146,0.825235678,146,0.8531029065
147,0.8225175919,147,0.8270348837,147,0.854215918
148,0.8243559719,148,0.8240405503,148,0.8517350158
149,0.8215962441,149,0.8198847262,149,0.8531029065
150,0.8221528861,150,0.8221574344,150,0.8535433071
151,0.8237129485,151,0.8203636364,151,0.8526398739
152,0.8256450352,152,0.8237853517,152,0.8528717545
153,0.8290398126,153,0.8259286235,153,0.8522012579
154,0.824629774,154,0.8283852281,154,0.8512981904
155,0.8255451713,155,0.8258345428,155,0.852433281
156,0.8259172521,156,0.8277858177,156,0.8557919622
157,0.8236208236,157,0.8270348837,157,0.8510638298
158,0.8236208236,158,0.8284883721,158,0.8497246263
159,0.8265625,159,0.8276363636,159,0.8490566038
160,0.8265625,160,0.8240405503,160,0.8499607227
161,0.8230709275,161,0.8270348837,161,0.8537735849
162,0.8225175919,162,0.8263386397,162,0.8503937008
163,0.8239875389,163,0.8260869565,163,0.8533333333
164,0.8242612753,164,0.8275362319,164,0.8515318146
165,0.8239875389,165,0.824127907,165,0.8508634223
166,0.8239875389,166,0.825235678,166,0.8508634223
167,0.8242612753,167,0.824383164,167,0.8526645768
168,0.825,168,0.826783115,168,0.8522012579
169,0.8247261346,169,0.8264342774,169,0.8522012579
170,0.8196721311,170,0.8247272727,170,0.8472440945
171,0.8227060653,171,0.829586657,171,0.8488188976
172,0.8230709275,172,0.8272859216,172,0.8535433071
173,0.8259172521,173,0.8264342774,173,0.8535433071
174,0.8242612753,174,0.8270348837,174,0.8535433071
175,0.8259172521,175,0.8270348837,175,0.8535433071
176,0.8234375,176,0.8266860044,176,0.8535433071
177,0.8240813135,177,0.8244719592,177,0.8522012579
178,0.8259172521,178,0.8255813953,178,0.8535433071
179,0.8259172521,179,0.8278867102,179,0.8560188828
180,0.8259172521,180,0.8276363636,180,0.8522012579
181,0.8259172521,181,0.8260869565,181,0.854215918
182,0.8234375,182,0.8260869565,182,0.8546739984
183,0.8243559719,183,0.8249818446,183,0.8531029065
184,0.8239875389,184,0.8264342774,184,0.8522012579
185,0.8259172521,185,0.8265895954,185,0.8537735849
186,0.8249027237,186,0.8287373004,186,0.8526398739
187,0.8255451713,187,0.8288808664,187,0.8515318146
188,0.824629774,188,0.8255813953,188,0.8531029065
189,0.8229813665,189,0.8272859216,189,0.8506289308
190,0.8243559719,190,0.8290909091,190,0.8519685039
191,0.8256450352,191,0.8282387191,191,0.8533123028
192,0.824629774,192,0.8269370022,192,0.8515318146
193,0.8237129485,193,0.8276363636,193,0.8497246263
194,0.8227946916,194,0.8287373004,194,0.8506289308
195,0.8240813135,195,0.8225923244,195,0.8506289308
196,0.8239875389,196,0.8257411424,196,0.8522012579
197,0.824629774,197,0.8287373004,197,0.8522012579
198,0.8240813135,198,0.8240405503,198,0.856918239
199,0.8259172521,199,0.8279883382,199,0.854215918
200,0.8259172521,200,0.8206245461,200,0.854215918
