Epoch, F-1 Score,,,,
83,0.829153605,83,0.8334556126,83,0.8716744914
84,0.8256450352,84,0.8296622614,84,0.8707909162
85,0.8256450352,85,0.8319882612,85,0.8726415094
86,0.8244514107,86,0.8330893119,86,0.8685446009
87,0.828504307,87,0.8322344322,87,0.8699059561
88,0.8272087568,88,0.8325991189,88,0.8699059561
89,0.828504307,89,0.8336996337,89,0.8739232576
90,0.8272087568,90,0.831871345,90,0.8728414443
91,0.8272087568,91,0.8336996337,91,0.8754894283
92,0.8316366484,92,0.8302718589,92,0.8742138365
93,0.8262910798,93,0.8305209098,93,0.8669796557
94,0.828504307,94,0.8313782991,94,0.8730407524
95,0.8316366484,95,0.8343108504,95,0.8676585748
96,0.8262910798,96,0.8322344322,96,0.8723570869
97,0.8294209703,97,0.8341855369,97,0.8692247455
98,0.8253719655,98,0.8336996337,98,0.8697017268
99,0.8243559719,99,0.8333333333,99,0.8714733542
100,0.8240813135,100,0.8358862144,100,0.8732394366
101,0.8225175919,101,0.8345534407,101,0.8730407524
102,0.8234375,102,0.8286969253,102,0.874411303
103,0.8247261346,103,0.8312636961,103,0.8768627451
104,0.8269381363,104,0.8330893119,104,0.8730407524
105,0.8238057948,105,0.8322344322,105,0.8705882353
106,0.8265625,106,0.8322344322,106,0.8721568627
107,0.8265625,107,0.8349229641,107,0.8697017268
108,0.8295365279,108,0.8311306902,108,0.8728414443
109,0.8238057948,109,0.8278388278,109,0.8746081505
110,0.8247261346,110,0.832479883,110,0.8750981932
111,0.8247261346,111,0.8333333333,111,0.8746081505
112,0.8247261346,112,0.832479883,112,0.8721568627
113,0.8247261346,113,0.8311306902,113,0.8730407524
114,0.8219607843,114,0.8301610542,114,0.8730407524
115,0.8225175919,115,0.8299120235,115,0.8716744914
116,0.8228840125,116,0.8280907096,116,0.8692247455
117,0.8244514107,117,0.8304093567,117,0.868338558
118,0.8238057948,118,0.8271334792,118,0.8728414443
119,0.8250980392,119,0.831871345,119,0.8721568627
120,0.8232521603,120,0.8333333333,120,0.8699059561
121,0.8228840125,121,0.8304093567,121,0.8705882353
122,0.8232521603,122,0.8336996337,122,0.868338558
123,0.8235294118,123,0.8354059985,123,0.8701095462
124,0.81875,124,0.8349229641,124,0.8721568627
125,0.8159126365,125,0.8334556126,125,0.8712715856
126,0.8181108509,126,0.8325991189,126,0.8728414443
127,0.8203921569,127,0.8334556126,127,0.8716744914
128,0.8184663537,128,0.8302718589,128,0.8721568627
129,0.8196721311,129,0.8347953216,129,0.8694292416
130,0.8203125,130,0.8239590942,130,0.8667711599
131,0.8184663537,131,0.8345534407,131,0.865625
132,0.8184663537,132,0.8360175695,132,0.8692247455
133,0.8165495706,133,0.8272327965,133,0.8709929633
134,0.81875,134,0.8307692308,134,0.8685446009
135,0.8213166144,135,0.8347953216,135,0.8701095462
136,0.8203921569,136,0.8354059985,136,0.8703125
137,0.8193901486,137,0.8339429407,137,0.8669796557
138,0.8191072827,138,0.8330893119,138,0.8685446009
139,0.8188235294,139,0.832479883,139,0.8685446009
140,0.8146989836,140,0.8339429407,140,0.8685446009
141,0.8078125,141,0.832479883,141,0.8701095462
142,0.8119122257,142,0.8254200146,142,0.8652037618
143,0.813771518,143,0.8254200146,143,0.868338558
144,0.8147566719,144,0.831871345,144,0.8669796557
145,0.8147566719,145,0.831625183,145,0.8690196078
146,0.8119122257,146,0.8312636961,146,0.868338558
147,0.8150470219,147,0.8275862069,147,0.8669796557
148,0.8122065728,148,0.831871345,148,0.8701095462
149,0.8131352619,149,0.8300510576,149,0.8685446009
150,0.8197492163,150,0.8280907096,150,0.8669796557
151,0.817254902,151,0.8321167883,151,0.8694292416
152,0.817541112,152,0.831871345,152,0.8676585748
