Percentage, Seed, F-1 Score
100.0%, 0, 0.713732499255
100.0%, 1, 0.724932654894
100.0%, 2, 0.726672667267
100.0%, 3, 0.734510625561
100.0%, 4, 0.928941786472
100.0%, 5, 0.710353081987
100.0%, 6, 0.722884386174
100.0%, 7, 0.722404046415
100.0%, 12, 0.928053738731
50.0%, 0, 0.684848484848
50.0%, 1, 0.669525267994
50.0%, 2, 0.6741301059
50.0%, 3, 0.702018680325
50.0%, 4, 0.923240434577
50.0%, 5, 0.681359044995
50.0%, 6, 0.692307692308
50.0%, 7, 0.655677655678
50.0%, 12, 0.919853635505
20.0%, 0, 0.630734680783
20.0%, 1, 0.620092735703
20.0%, 2, 0.604881062712
20.0%, 3, 0.646946564885
20.0%, 4, 0.908092792633
20.0%, 5, 0.596347607053
20.0%, 6, 0.627998785302
20.0%, 7, 0.598956735195
20.0%, 12, 0.904539267326
10.0%, 0, 0.591849935317
10.0%, 1, 0.555413196669
10.0%, 2, 0.575385583884
10.0%, 3, 0.57501569366
10.0%, 4, 0.894602458286
10.0%, 5, 0.55317769131
10.0%, 6, 0.507824976046
10.0%, 7, 0.551767676768
10.0%, 12, 0.894328216678
5.0%, 0, 0.491110365649
5.0%, 1, 0.518118245391
5.0%, 2, 0.568085797855
5.0%, 3, 0.467459762071
5.0%, 4, 0.88298567778
5.0%, 5, 0.473755047106
5.0%, 6, 0.465788628333
5.0%, 7, 0.452945159106
5.0%, 12, 0.86400661079
2.0%, 0, 0.300450266066
2.0%, 1, 0.352982211371
2.0%, 2, 0.333449356074
2.0%, 3, 0.358992060753
2.0%, 4, 0.857176791971
2.0%, 5, 0.307990690458
2.0%, 6, 0.302325581395
2.0%, 7, 0.318656716418
2.0%, 12, 0.840415486308
1.0%, 0, 0.229408792319
1.0%, 1, 0.267498885421
1.0%, 2, 0.184782608696
1.0%, 3, 0.259302781042
1.0%, 4, 0.837042270105
1.0%, 5, 0.181978021978
1.0%, 6, 0.260307194826
1.0%, 7, 0.160340821069
1.0%, 12, 0.845913984821
0.5%, 0, 0.265205479452
0.5%, 1, 0.0791208791209
0.5%, 2, 0.112512124151
0.5%, 3, 0.231375985977
0.5%, 4, 0.860190151146
0.5%, 5, 0.165316045381
0.5%, 6, 0.110410094637
0.5%, 7, 0.114052953157
0.5%, 12, 0.833646837526
