Percentage, Seed, F-1 Score
100.0%, 0, 0.720833333333
100.0%, 1, 0.930372290292
100.0%, 2, 0.714328269288
100.0%, 3, 0.725912627169
100.0%, 4, 0.717286914766
100.0%, 5, 0.927536231884
100.0%, 6, 0.710674992566
100.0%, 7, 0.932784318274
100.0%, 12, 0.719428741446
50.0%, 0, 0.67013145827
50.0%, 1, 0.921280735892
50.0%, 2, 0.667671893848
50.0%, 3, 0.651793789569
50.0%, 4, 0.673088500903
50.0%, 5, 0.919660737425
50.0%, 6, 0.6898008449
50.0%, 7, 0.925508425334
50.0%, 12, 0.681804420224
20.0%, 0, 0.634627233518
20.0%, 1, 0.907013909441
20.0%, 2, 0.64932735426
20.0%, 3, 0.617125382263
20.0%, 4, 0.620732853116
20.0%, 5, 0.910536545144
20.0%, 6, 0.626426426426
20.0%, 7, 0.911319983653
20.0%, 12, 0.634730538922
10.0%, 0, 0.541226215645
10.0%, 1, 0.899158668089
10.0%, 2, 0.520374283127
10.0%, 3, 0.534080298786
10.0%, 4, 0.517297122535
10.0%, 5, 0.902852418355
10.0%, 6, 0.558614290133
10.0%, 7, 0.897740507803
10.0%, 12, 0.528290090653
5.0%, 0, 0.500939261115
5.0%, 1, 0.879299117978
5.0%, 2, 0.438282042611
5.0%, 3, 0.480565371025
5.0%, 4, 0.460681114551
5.0%, 5, 0.881207974519
5.0%, 6, 0.394916911046
5.0%, 7, 0.866937143529
5.0%, 12, 0.457929308727
2.0%, 0, 0.378040762656
2.0%, 1, 0.859052463477
2.0%, 2, 0.339898348158
2.0%, 3, 0.342295081967
2.0%, 4, 0.3510537905
2.0%, 5, 0.851123926092
2.0%, 6, 0.283618581907
2.0%, 7, 0.849585425669
2.0%, 12, 0.275517011341
1.0%, 0, 0.289068231842
1.0%, 1, 0.84126984127
1.0%, 2, 0.299416720674
1.0%, 3, 0.252315554136
1.0%, 4, 0.253907496013
1.0%, 5, 0.854670247687
1.0%, 6, 0.228879165264
1.0%, 7, 0.846395728271
1.0%, 12, 0.229885057471
0.5%, 0, 0.264948084497
0.5%, 1, 0.843828715365
0.5%, 2, 0.296296296296
0.5%, 3, 0.225484072455
0.5%, 4, 0.157208088715
0.5%, 5, 0.838965959787
0.5%, 6, 0.206554121152
0.5%, 7, 0.847847121432
0.5%, 12, 0.193284193284
