Percentage, Seed, F-1 Score
100.0%, 0, 0.709194369572
100.0%, 2, 0.702606635071
100.0%, 3, 0.712125704121
100.0%, 7, 0.932158181607
100.0%, 12, 0.727872787279
50.0%, 0, 0.690033526364
50.0%, 2, 0.686874810549
50.0%, 3, 0.670647954613
50.0%, 7, 0.924247705356
50.0%, 12, 0.664262097986
20.0%, 0, 0.632250227756
20.0%, 2, 0.650580329872
20.0%, 3, 0.601715686275
20.0%, 7, 0.910384234155
20.0%, 12, 0.605676328502
10.0%, 0, 0.523284313725
10.0%, 2, 0.523058252427
10.0%, 3, 0.538533541342
10.0%, 7, 0.895520644747
10.0%, 12, 0.523364485981
5.0%, 0, 0.486132751636
5.0%, 2, 0.493662864385
5.0%, 3, 0.502328469419
5.0%, 7, 0.86923302968
5.0%, 12, 0.438958403788
2.0%, 0, 0.309354739117
2.0%, 2, 0.384615384615
2.0%, 3, 0.355646100116
2.0%, 7, 0.844203964006
2.0%, 12, 0.289367429341
1.0%, 0, 0.291329479769
1.0%, 2, 0.268941979522
1.0%, 3, 0.256572695597
1.0%, 7, 0.843257390994
1.0%, 12, 0.256832646949
0.5%, 0, 0.231837261866
0.5%, 2, 0.297963558414
0.5%, 3, 0.235329703569
0.5%, 7, 0.847630001816
0.5%, 12, 0.199327165685
