Percentage, Seed, F-1 Score
100.0%, 0, 0.718086696562
100.0%, 2, 0.715827338129
100.0%, 3, 0.720288115246
100.0%, 7, 0.718055143789
100.0%, 12, 0.930194231901
50.0%, 0, 0.689821806101
50.0%, 2, 0.709735576923
50.0%, 3, 0.687027517387
50.0%, 7, 0.642748555792
50.0%, 12, 0.919827738776
20.0%, 0, 0.656772971266
20.0%, 2, 0.621670702179
20.0%, 3, 0.644257703081
20.0%, 7, 0.601982577351
20.0%, 12, 0.906888810115
10.0%, 0, 0.559897501602
10.0%, 2, 0.54998480705
10.0%, 3, 0.570996978852
10.0%, 7, 0.568252007412
10.0%, 12, 0.896796311621
5.0%, 0, 0.468874172185
5.0%, 2, 0.527744270205
5.0%, 3, 0.439306358382
5.0%, 7, 0.447639887465
5.0%, 12, 0.877749601934
2.0%, 0, 0.235175202156
2.0%, 2, 0.38961038961
2.0%, 3, 0.323174603175
2.0%, 7, 0.323383084577
2.0%, 12, 0.852833313616
1.0%, 0, 0.252339947585
1.0%, 2, 0.241678726483
1.0%, 3, 0.281228192603
1.0%, 7, 0.217797137523
1.0%, 12, 0.841806908769
0.5%, 0, 0.254782608696
0.5%, 2, 0.186656076251
0.5%, 3, 0.280724876442
0.5%, 7, 0.154312668464
0.5%, 12, 0.832898791183
